tail_number,manufacturer,model
"N886GA","McDonnell-Douglas","MD-83"
"N7822A","Boeing","B-737-76N"
"N6701","Boeing","B757-2"
"N526","Boeing","B737-5"
"N921EV","Bombardier","CRJ200-2B19"
"N375UA","Boeing","B737-300PAX"
"N818HK","Embraer","EMB-145"
"N24211","Boeing","B737-800PAX"
"N717FD","Airbus","A300-600"
"N592HA","Boeing","b767-3CbER"
"N426AW","Canadair","RJ-200"
"N946NN","Boeing","B737PASSENGER"
"N298WN","Boeing","B-737-7H4"
"N8526W","Boeing","B-737-8H4"
"N755DH","Boeing","B727-Cargo"
"N629US","Boeing","B747-4F"
"N988SW","Canadair","RJ-200"
"N474","Boeing","SUPER80"
"N8938E","McDonnell-Douglas","DC9-30-PSGR"
"N336NV","Airbus","A319"
"N78540","Boeing","B737-800PAX"
"N187WQ","DeHavilland","Q400"
"N675DL","Boeing","B757-2"
"N53441","Boeing","B737-900ERPAX"
"N382AN","Boeing","B767-323ERPASSENGER"
"N920WN","Boeing","B-737-7H4"
"N24EA","Bombardier","CL600-2C10PSGR"
"N818AA","Dassault","FALCON"
"784AX","Boeing","B767-232SF"
"N716TW","Boeing","B757-2"
"N591ML","Canadair","RJ-200"
"N951TW","McDonnell-Douglas","SUPER80PASSENGER"
"N425UA","Airbus","AirbusA320-232PAX"
"N855VA","Airbus","A320-214"
"N298","Boeing","737-700PASSENGERONLY"
"N760SK","Canadair","RJ-700"
"N14237","Boeing","B737-800PAX"
"N635AS","ATR","ATR-72"
"N483HA","Boeing","b717-200"
"N988AX","McDonnell-Douglas","DC-9-30"
"N343UP","Boeing","767-34AF"
"N8932E","McDonnell-Douglas","DC9-30-PSGR"
"N198AA","Boeing","B757-223PASSENGER"
"N78501","Boeing","B737-800PAX"
"N674RJ","Embraer","ERJ-145"
"N532US","Boeing","B757-2"
"N924FR","Airbus","A319-1"
"N381FL","Convair","CV5800-CARGO"
"N822SK","Bombardier","RJ-900"
"N249AY","Boeing","B767-2"
"N723SW","Boeing","B-737-7H4"
"750AX","Boeing","B767-232SF"
"N600WN","Boeing","B-737-3H4"
"N432","Boeing","737-700PASSENGERONLY"
"N304KR","Bombardier","Challenger605"
"N148SY","Embraer","ERJ175"
"N760AT","Boeing","B727-2"
"N634NK","Airbus","A-320-PSGR"
"N997","Boeing","717-200PASSENGERONLY"
"N482UA","Airbus","AirbusA320-232PAX"
"N9008U","Airbus","A319-115PASSENGER"
"N342WN","Boeing","737-300PASSENGERONLY"
"N788AX","Boeing","B767-232SF"
"N196WQ","DeHavilland","Q400"
"N680AW","Airbus","A320-232"
"N544UW","Airbus","A321-231"
"N38955","Boeing","B787-900PAX"
"N256PS","GE","RJ-200"
"N10061","McDonnell-Douglas","DC10-10"
"N955UW","Embraer","ERJ190-100IGW"
"N860NW","Airbus","A330-PSGR"
"N30401","Boeing","B737-900PAX"
"N76508","Boeing","B737-800PAX"
"N147AW","Boeing","B737-1/2"
"N640US","Boeing","B747-4F"
"N492","Boeing","737-700PASSENGERONLY"
"N350WN","Boeing","737-300PASSENGERONLY"
"N205JQ","Embraer","ERJ-170-200LR"
"N927TW","McDonnell-Douglas","MD-80"
"N827NN","Boeing","B737-823PASSENGER"
"N7305V","Canadair","RJ-200"
"N605CZ","Embraer","EMB175"
"N438AA","McDonnell-Douglas","SUPER80PASSENGER"
"N308RD","Boeing","B737-800MAX"
"N154UW","Airbus","A321-211"
"n176pq","Bombardier","CRJ900"
"N903DE","McDonnell-Douglas","MD-88-PSGR"
"N794UA","Boeing","B777-222BPAX"
"N68821","Boeing","B737-900ERPAX"
"N554FE","McDonnell-Douglas","DC-10-10"
"N396HA","Airbus","A330-200"
"N263WN","Boeing","B737-7/L"
"N11137","Embraer","ERJ-145XR"
"N960DN","McDonnell-Douglas","MD-90-30-PSGR"
"N86347","Embraer","EMB-175-PSGR"
"N769SW","Boeing","B-737-7H4"
"N646","Boeing","B737-3"
"n8800g","Bombardier","CRJ200"
"N50051","Airbus","A300-600"
"N906EV","Canadair","RJ-200"
"N356KD","Boeing","B744-F"
"N801FR","Airbus","A318-1"
"N212FE","Boeing","B727-2"
"N930WN","Boeing","B-737-7H4"
"N8312WN","Boeing","737-800PASSENGERONLY"
"N736SA","Boeing","B-737-7H4"
"N609NK","Airbus","A320PAX"
"N965AN","Boeing","B737-823PASSENGER"
"N444US","Boeing","B737-4B7"
"N866DN","Boeing","737-932ER-PSGR"
"N313FE","McDonnell-Douglas","DC-10-30"
"N77260","Canadair","RJ-200"
"N161PQ","Bombardier","RJ-900"
"N651WN","Boeing","737-300PASSENGERONLY"
"N506DN","Airbus","A350-900-PSGR"
"n8747b","Bombardier","CRJ200"
"N362PH","DeHavilland","DHC8-200"
"N906AE","Embraer","ERJ-145"
"N801AE","Embraer","ERJ-140"
"N695DL","Boeing","757-232-PSGR"
"N562JB","Airbus","A320-232-PSGR"
"N934DN","McDonnell-Douglas","MD-90-30-PSGR"
"N403AA","McDonnell-Douglas","SUPER80PASSENGER"
"N834AE","Embraer","ERJ-140"
"N27173","Canadair","RJ-200"
"N742VA","Boeing","B737-400-PSGR"
"N119UW","Airbus","A320-1/2"
"N615FE","McDonnell-Douglas","MD11"
"N451","Boeing","737-700PASSENGERONLY"
"N964FE","Cessna","CE-208B"
"N318WN","Boeing","737-300PASSENGERONLY"
"N8664J","Boeing","B-737-8H4"
"N168AW","Boeing","B737-3"
"N7721E","Boeing","B-737-7BD"
"N651FE","Airbus","A300-600"
"n937xj","Bombardier","CRJ900"
"N505UA","Boeing","B757-222PAX"
"N909TW","McDonnell-Douglas","MD-80"
"N36272","Boeing","B737-800PAX"
"N805AY","Canadair","RJ-200"
"N218WN","Boeing","B737-7/L"
"N702FR","Airbus","A-321"
"N570","Boeing","737-700PASSENGERONLY"
"N408SW","Canadair","RJ-200"
"N9347","McDonnell-Douglas","DC9-30-PSGR"
"N277EA","CFMInternational","B-737-800-PSGR"
"N833AS","Canadair","RJ-200"
"N125FE","Boeing","767-3S2F"
"N742FE","Fairchild","FH-227"
"N614WN","Boeing","737-300PASSENGERONLY"
"N970DL","McDonnell-Douglas","MD-88-PSGR"
"N450FE","Airbus","A310-2CF"
"N8710M","Boeing","B-737-8MAX"
"N318FE","McDonnell-Douglas","DC-10-30"
"N7746C","Boeing","B-737-7BD"
"N167AN","Airbus","A321-231"
"N657NK","Airbus","A-321-PSGR"
"N512WN","Boeing","737-500PASSENGERONLY"
"N369AA","Boeing","B767-323ERPASSENGER"
"N226PS","Canadair","RJ-200"
"N701WN","Boeing","737-700PASSENGERONLY"
"N569BJ","Airbus","A320-1/2"
"N938DN","McDonnell-Douglas","MD-90-30-PSGR"
"N408AS","Boeing","B737-990ERALLPAX"
"N840NN","Boeing","B737-823PASSENGER"
"N276WA","McDonnell-Douglas","MD11CARGO"
"N748DH","Boeing","B727-2"
"N12530","Embraer","ERJ135LR"
"N925XJ","Bombardier","RJ-900"
"N38458","Boeing","B737-900ERPAX"
"N824NW","Airbus","A330-302-PSGR"
"N251PS","GE","RJ-200"
"N726CK","Boeing","B-727-2M7"
"865GA","McDonnell-Douglas","MD-83"
"N603AA","Boeing","B757-223PASSENGER"
"N434US","Boeing","B737-4B7"
"N306EV","McDonnell-Douglas","MD-90-PSGR"
"N149AT","Boeing","Boeing737-700/LR"
"NPHHZC","Boeing","B737-8"
"N901NK","Airbus","A-320-PSGR"
"N791FD","Boeing","757-200"
"N683UP","Boeing","B747-1"
"N549UW","Airbus","A321-231"
"N39343","Boeing","B737-3"
"N260AE","ATR","ATR-72Passenger"
"N1063H","Piper","PA-32COMBI"
"N957UW","Embraer","ERJ190-100IGW"
"N8621A","Boeing","B-737-8H4"
"N766VA","Boeing","B767-2R-PSGR"
"N642VA","Airbus","A320-214"
"N495AA","McDonnell-Douglas","SUPER80PASSENGER"
"N353AT","Boeing","Boeing737-700/LR"
"N208JQ","Embraer","ERJ-175-200LR"
"N929DA","Douglas","MD-90-PSGR"
"N8301WN","Boeing","737-800PASSENGERONLY"
"N73291","Boeing","B737-800PAX"
"N607AM","Boeing","B757-223PASSENGER"
"N962DN","McDonnell-Douglas","MD-90-30-PSGR"
"N440YX","Embraer","ERJ-170-200LR"
"N310PQ","Bombardier","CRJ-900LR-PSGR"
"N15910","Embraer","ERJ-145LR"
"n819ay","Bombardier","CRJ200"
"N904FR","Airbus","A319-1"
"N797FE","Cessna","CE-208B"
"N690DL","Boeing","B757-2"
"N557WN","Boeing","B-737-790"
"N9333","McDonnell-Douglas","DC-9-30"
"N40061","McDonnell-Douglas","DC-10-10"
"N8323","Boeing","737-800PASSENGERONLY"
"N267SK","Embraer","Embraer-145"
"N740EV","Canadair","RJ-700"
"N114NN","Airbus","A321-231PASSENGER"
"N612NW","McDonnell-Douglas","DC-9-30"
"N9626F","McDonnell-Douglas","SUPER80PASSENGER"
"N8647","Boeing","737-800PASSENGERONLY"
"N770AT","Boeing","B727-2"
"N648JB","Airbus","A320-232-PSGR"
"n8960a","Bombardier","CRJ200"
"N502NK","Airbus","A319PAX"
"N907UP","Boeing","B727-100"
"N359","Boeing","B737-3"
"N803DE","McDonnell-Douglas","MD-11"
"N215JQ","Embraer","ERJ-175-200LR"
"N699","Boeing","B737-3"
"N566BJ","Airbus","A320-1/2"
"N405VA","Dornier","DO-228-PSGR"
"N932UP","Boeing","B727-100"
"N274","Boeing","B737-7/L"
"N8320","Boeing","737-800PASSENGERONLY"
"N12221","Boeing","B737-800PAX"
"N739WN","Boeing","737-700PASSENGERONLY"
"N612AS","Boeing","B737-790ALLPAX"
"N967CA","Canadair","RJ100/ER"
"N447","Boeing","737-700PASSENGERONLY"
"N8688C","Canadair","RJ-200"
"N315TZ","Boeing","B737-8"
"N7733B","Boeing","B-737-76N"
"N16501","Embraer","ERJ-135"
"N654AA","Boeing","B757-223PASSENGER"
"N509AE","GE","RJ-700"
"n8924b","Bombardier","CRJ200"
"N365FE","McDonnell-Douglas","DC-10-10"
"N907FE","Cessna","CE-208B"
"N222WN","Boeing","B737-7/L"
"N802UP","McDonnell-Douglas","DC-8-73F"
"N69885","Boeing","B737-900ERPAX"
"N565NN","GE","CRJ900"
"N935WN","Boeing","B-737-7H4"
"N405JS","Boeing","B757-2"
"N836UA","Airbus","AirbusA319-131PAX"
"N273AK","Boeing","B737-990ERALLPAX"
"N745CK","Boeing","B-747-446"
"N121FE","Boeing","767-3S2F"
"N617US","Boeing","B747-4F"
"N453SW","Canadair","RJ-200"
"N966NN","Boeing","B737-823"
"N321GL","Boeing","737-700-PSGR"
"N8680C","Boeing","B-737-8H4"
"N170US","Airbus","A321-211"
"N77303","Boeing","B737-3"
"N653GT","Boeing","B767-200"
"N508JL","Airbus","A320-232-PSGR"
"N912DE","McDonnell-Douglas","MD-88-PSGR"
"N364NB","Airbus","A319-PSGR"
"N806SY","Boeing","B737-800"
"N221UA","Boeing","B777-222BPAX"
"N704FR","Airbus","A-321"
"N573FE","McDonnell-Douglas","MD11"
"N410WN","Boeing","B737-7/L"
"N279AY","Airbus","A330-243"
"N12900","Embraer","ERJ-145LR"
"N617AS","Boeing","B737-790ALLPAX"
"N972RP","Embraer","Embraer-145"
"N452WN","Boeing","B737-7/L"
"N873DN","Boeing","737-900ER-PSGR"
"N320PQ","Bombardier","CRJ-900LR-PSGR"
"N77539","Boeing","B737-800PAX"
"N169UP","Airbus","A300F4-622R"
"N66056","Boeing","B767-400PAX"
"N516AS","Boeing","B737-890ALLPAX"
"N371SK","Embraer","Embraer-140"
"N229UA","Boeing","B777-222BPAX"
"N9406W","McDonnell-Douglas","SUPER80PASSENGER"
"N843AL","SAAB","SF-340A"
"N750NA","Boeing","B757-200PSGR"
"N128DL","Boeing","B767-3"
"N622VA","Airbus","A320-214"
"N461AA","McDonnell-Douglas","SUPER80PASSENGER"
"N327WN","Boeing","737-300PASSENGERONLY"
"N175DN","Boeing","B767-3"
"N916","Boeing","B737-7/L"
"N810SK","Bombardier","RJ-900"
"N708S","Boeing","B737-PSGR"
"N580UP","Boeing","B-747-4"
"N416UP","Boeing","B757-2"
"N286AT","Boeing","B737-7"
"N135SY","Embraer","ERJ175"
"N978AX","McDonnell-Douglas","DC-9-40"
"N882DN","Boeing","737-900ER-PSGR"
"N780AN","Boeing","B777-200PASSENGER"
"N666US","Boeing","B747-4"
"N522UP","Boeing","B747-2/3"
"N37468","Boeing","B737-900ERPAX"
"N237NN","Embraer","ERJ-175"
"N944AS","McDonnell-Douglas","MD-80"
"N8504G","Boeing","B-737-8H4"
"N753NW","McDonnell-Douglas","DC9-41-PSGR"
"N627CZ","Embraer","EMB175"
"N985FE","Cessna","CE-208B"
"N469","Boeing","737-700PASSENGERONLY"
"N8914A","Canadair","RJ-200"
"N332UA","Boeing","B737-3"
"N783SK","Canadair","RJ-700"
"N182UW","Airbus","A321-211"
"N672","Boeing","B737-3"
"N919CA","Boeing","747-428BCF"
"N815AW","Airbus","A319-132"
"N713FR","GE","A-321"
"N587NK","Airbus","A321PAX"
"N949AT","Boeing","Boeing717-200"
"N422AW","Canadair","RJ-200"
"N853NW","Airbus","A330-PSGR"
"N293AS","Boeing","B727-2"
"N758FX","Cessna","CE-208B"
"N140SY","Embraer","ERJ175"
"N632DL","Boeing","B757-2"
"N478EV","Boeing","B747-1"
"N984SW","Canadair","RJ-200"
"N340CA","Canadair","RJ-700"
"N8909E","McDonnell-Douglas","DC9-10-PSGR"
"N19357","Boeing","B737-3"
"N783AS","Boeing","B737-4"
"N671AE","Embraer","ERJ-145ER"
"N528FE","McDonnell-Douglas","MD11"
"N922UA","Boeing","B737-5"
"N377FE","McDonnell-Douglas","DC-10-10"
"N820DX","Boeing","757-26D-PSGR"
"N245NN","Embraer","ERJ-175"
"N71OEV","Bombardier","CRJ-700"
"219NV","Airbus","A320"
"N595JB","Airbus","A320-232-PSGR"
"N428XJ","Saab","Saab340B"
"N948NN","Boeing","B737PASSENGER"
"N301PA","Boeing","B737-823"
"N8539V","Boeing","B-737-8H4"
"N14562","Embraer","ERJ-145LR"
"N75851","Boeing","B757-300PAX"
"N631VA","Airbus","A320-214"
"N991HA","DeHavilland","DHC8-200"
"N477WN","Boeing","B737-7/L"
"N8965E","Canadair","CRJ200-2B19"
"N339NW","Airbus","A320-PSGR"
"N786AX","Boeing","B767-2"
"N191US","McDonnell-Douglas","DC-9-15F"
"N67845","Boeing","B737-900ERPAX"
"N537US","Boeing","B757-2"
"N384FE","McDonnell-Douglas","DC-10-10"
"N922FD","Boeing","B757-2"
"N252AU","Boeing","B767-2B7ER"
"N819UP","McDonnell-Douglas","DC-8-73F"
"876GA","McDonnell-Douglas","MD-83"
"N719EV","Canadair","RJ-700"
"N594JB","Airbus","A320-232-PSGR"
"N953FR","Airbus","A-319-111"
"N428AA","McDonnell-Douglas","MD-80"
"N858RW","Embraer","ERJ-170-100SE"
"N301DV","Airbus","A321-211-PSGR"
"N762NW","McDonnell-Douglas","DC9-41-PSGR"
"N14505","Embraer","ERJ-135"
"N637VA","Airbus","A320-214"
"N487FE","Boeing","B727-2"
"N346UP","Boeing","767-34AF"
"N201WN","Boeing","B737-7/L"
"N536UA","Boeing","B757-222PAX"
"N202US","Boeing","B727-2"
"N926EV","Bombardier","CRJ200-2B19"
"N384HA","Airbus","a330-200"
"N825HK","Embraer","EMB-145"
"N252AY","Boeing","B767-2"
"N727FD","Airbus","A300-600"
"877GA","McDonnell-Douglas","MD-83"
"N603JB","Airbus","A320-232-PSGR"
"N435FE","Airbus","A310-2CF"
"N306UA","Boeing","B737-3"
"N150UP","Airbus","A300F4-622R"
"NXLAI","Boeing","B737-8"
"N9025B","Airbus","A319-115PASSENGER"
"N792AX","Boeing","B767-232SF"
"N684JW","Embraer","ERJ-145LR"
"N550UW","Airbus","A321-231"
"N393HA","Airbus","A330-200"
"N260WN","Boeing","B-737-7H4"
"N107SY","Embraer","ERJ175"
"N958FD","Boeing","B-757-200"
"N8626","Boeing","737-800PASSENGERONLY"
"N767FL","GulfStream","GV"
"N643NK","Airbus","A-320-PSGR"
"N495WN","Boeing","B737-7/L"
"N353WN","Boeing","737-300PASSENGERONLY"
"N209NN","Embraer","EMB175"
"N929RD","Boeing","B757-2"
"N8306","Boeing","737-800PASSENGERONLY"
"N732US","Airbus","A319-112"
"N607NW","McDonnell-Douglas","DC-9-30"
"N963","Boeing","737-700PASSENGERONLY"
"N441WN","Boeing","B737-7/L"
"N8652B","Boeing","B-737-8H4"
"N311AZ","Boeing","767"
"N15985","Embraer","ERJ-145LR"
"n839ay","Bombardier","CRJ200"
"N905","Boeing","B737-7/L"
"N798FE","Cessna","CE-208B"
"N691WN","Boeing","737-300PASSENGERONLY"
"N558UA","Boeing","B757-222PAX"
"N933AT","Boeing","Boeing717-200"
"N401","Boeing","737-700PASSENGERONLY"
"N8326F","Boeing","B-737-8H4"
"N26902","Boeing","B787-800PAX"
"N740WA","Boeing","B747-F"
"N11551","Embraer","ERJ-145LR"
"N613AU","Boeing","B757-2"
"N448FE","Airbus","A310-2CF"
"N962FD","Boeing","B-757-200"
"N864FE","Cessna","CE-208B"
"N7710","Boeing","737-700PASSENGERONLY"
"N649AS","Boeing","B737-7/L"
"n901xj","Bombardier","CRJ900"
"N503DN","Airbus","A350-900-PSGR"
"N908DA","McDonnell-Douglas","MD-90-PSGR"
"N359PX","Boeing","B737-823"
"N803NW","Airbus","A330-PSGR"
"N216AA","McDonnell-Douglas","MD-80"
"N70072","Airbus","A300-600RPASSENGER"
"N567AM","McDonnell-Douglas","SUPER80PASSENGER"
"N406SW","Canadair","RJ-200"
"N9334","McDonnell-Douglas","DC-9-30"
"N274WA","McDonnell-Douglas","MD11CARGO"
"N8323C","Boeing","B-737-8H4"
"N122UP","Airbus","A300F4-622R"
"N740FD","Airbus","A300-600"
"N612QX","DeHavilland","RJ-700"
"N967WN","Boeing","B-737-7H4"
"N447WN","Boeing","B737-7/L"
"N868UP","McDonnell-Douglas","DC8-73F"
"N316FR","GE","A-320-2NEO"
"N7737E","Boeing","B-737-7BD"
"N16546","Embraer","ERJ-145LR"
"N655","Boeing","B737-3"
"N510","Boeing","B737-5"
"n8964e","Bombardier","CRJ200"
"N366AA","Boeing","B767-323ERPASSENGER"
"N907WN","Boeing","B-737-7H4"
"N223PS","Canadair","RJ-200"
"N803DH","McDonnell-Douglas","DC8-73(M)"
"N699AE","Embraer","ERJ-145"
"N566FE","McDonnell-Douglas","DC-10-10"
"N936FD","Boeing","B757-2"
"N405WN","Boeing","B737-7/L"
"N837MH","Boeing","B767-400"
"N27421","Boeing","B737-900ERPAX"
"N746","Boeing","B737-7/L"
"N12225","Boeing","B737-800PAX"
"N618AA*","Boeing","B757-200PASSENGER"
"N454FE","Airbus","A310-2CF"
"N322DN","Airbus","A321-211-PSGR"
"N8688J","Boeing","B-737-8H4"
"N17139","Boeing","B757-200PAX"
"N7734","Boeing","737-700PASSENGERONLY"
"N654AE","Embraer","ERJ-145"
"N509AY","Airbus","A321-231"
"N912NN","Boeing","B737-823PASSENGER"
"N365GC","GulfStream","G200"
"N807DN","Boeing","737-932ER-PSGR"
"N223","Boeing","737-700PASSENGERONLY"
"N70504","McDonnell-Douglas","SUPER80PASSENGER"
"N574RP","Embraer","Embraer-145"
"N411QX","DeHavilland","DHC8-400"
"N280AE","SAAB","Saab340"
"N129AA","Airbus","A321-231PASSENGER"
"N973FD","Boeing","B-757-200"
"N453UA","Airbus","AirbusA320-232PAX"
"N874FE","Cessna","CE-208B"
"N321NB","Airbus","A319-PSGR"
"N775NC","McDonnell-Douglas","DC9-51-PSGR"
"N17104","Boeing","B757-200PAX"
"N660SW","Boeing","B-737-301"
"N517AS","Boeing","B737-890ALLPAX"
"N37255","Boeing","B737-800PAX"
"N231AN","Embraer","ERJ-175"
"N940FD","Boeing","B-757-200"
"N843UA","Airbus","AirbusA319-131PAX"
"N7514A","McDonnell-Douglas","SUPER80PASSENGER"
"N623FE","McDonnell-Douglas","MD11"
"N462AS","Boeing","B737-990ERALLPAX"
"N328NW","Airbus","A320-PSGR"
"N17620","Boeing","B737-500PAX"
"N916FE","Cessna","CE-208B"
"N811FD","Airbus","A310-300"
"N709BR","Canadair","RJ-200"
"N581SW","Embraer","EMB120-ER"
"N417NV","McDonnell-Douglas","MD-83"
"N287AT","Boeing","Boeing737-700/LR"
"N136WA","McDonnell-Douglas","DC-10-3"
"N979AN","Boeing","B737-823PASSENGER"
"N88328","Embraer","EMB-175-PSGR"
"N780WN","Boeing","737-700PASSENGERONLY"
"N66803","Boeing","B737-900ERPAX"
"N523MC","Boeing","B747-200"
"N919WN","Boeing","B-737-7H4"
"N374AA*","Boeing","B767-323ERPASSENGER"
"N238FR","GOAL","A-320-1/2"
"N944NN","Boeing","B737PASSENGER"
"N850FE","Cessna","CE-208B"
"N75425","Boeing","B737-900ERPAX"
"N62883","Boeing","B737-900ERPAX"
"N986DL","McDonnell-Douglas","MD-88-PSGR"
"N469WN","Boeing","B737-7/L"
"N8920E","McDonnell-Douglas","DC9-30-PSGR"
"N333UA","Boeing","B737-3"
"N7843A","Boeing","B-737-752"
"N184AT","Boeing","Boeing737-700/LR"
"N672RY","Boeing","B737-3"
"N529US","Boeing","B757-2"
"N379CA","Canadair","RJ-700"
"N919ME","Boeing","B717-2"
"N815SA","Boeing","747-200F"
"N714AX","Boeing","B767-2"
"N588HA","Boeing","b767-3CbER"
"N949NN","Boeing","B737PASSENGER"
"N422YX","Embraer","ERJ-170-200LR"
"N8545V","Boeing","B-737-8H4"
"N294AS","Boeing","B727-2"
"N75983","Canadair","CRJ-2/4"
"N14118","Boeing","B757-200PAX"
"N63305","Boeing","B737-3"
"N479FE","Boeing","B727-2"
"N985FX","Cessna","C-208B"
"N341","Boeing","B737-3"
"N8914E","McDonnell-Douglas","DC9-10-PSGR"
"N194AN","Boeing","B757-223PASSENGER"
"N783SW","Boeing","B-737-7H4"
"N672AA","Boeing","B757-223PASSENGER"
"N529AM","ATR","ATR-72Passenger"
"N923AS","Canadair","RJ-200"
"N378HA","Airbus","A330-200"
"N820UA","Airbus","AirbusA319-131PAX"
"N246LV","Boeing","B737-7/L"
"N720FX","Cessna","CE-208B"
"363CM","Boeing","B767-232SF"
"N596NN","GE","CRJ900"
"N429SW","Canadair","RJ-200"
"N949AX","McDonnell-Douglas","DC-9-30"
"N302DN","Airbus","A321-211-PSGR"
"N853UA","Airbus","AirbusA319-131PAX"
"N14604","Boeing","B737-500PAX"
"N758NW","McDonnell-Douglas","DC9-41-PSGR"
"N632JB","Airbus","A320-232-PSGR"
"N992FE","Cessna","CE-208B"
"N478FE","Boeing","B727-2"
"N8972E","Canadair","RJ-200"
"N340LV","Boeing","B-737-3K2"
"N787","Boeing","B737-7/L"
"N193AN","Boeing","B757-223PASSENGER"
"N679","Boeing","B737-3"
"N538UW","Airbus","A321-231"
"N385FE","McDonnell-Douglas","DC-10-10"
"N253AA","McDonnell-Douglas","SUPER80PASSENGER"
"N820FE","Cessna","CE-208B"
"891GA","McDonnell-Douglas","MD-83"
"N71OSK","Bombardier","CL600-2C10"
"N595NN","GE","CRJ900"
"N954AR","McDonnell-Douglas","MD11-11-F"
"N428YX","Embraer","ERJ-170-200LR"
"N859RW","Embraer","ERJ-170-100SE"
"N301PQ","Bombardier","CRJ-900LR-PSGR"
"N7639U","Boeing","B727-2"
"N14568","Embraer","ERJ-145LR"
"N638CZ","Embraer","EMB175"
"N488FE","Boeing","B727-2"
"N347UA","Boeing","B737-3"
"N849NN","Boeing","B737-823PASSENGER"
"N324","Boeing","B737-3"
"N778AN","Boeing","B777-200PASSENGER"
"N172AJ","Boeing","B757-223PASSENGER"
"N663AW","Airbus","A320-232"
"N520AE","Canadair","RJ-700"
"N3737C","Boeing","B737-8"
"N913WN","Boeing","B-737-7H4"
"N234AA","McDonnell-Douglas","MD-80"
"N808HK","Embraer","EMB-145"
"N706","Boeing","B737-7/L"
"N577AS","Boeing","B737-890ALLPAX"
"N942AN","Boeing","B737-823PASSENGER"
"N413","Boeing","737-700PASSENGERONLY"
"N846DN","Boeing","737-932ER-PSGR"
"N282FE","Boeing","B727-2"
"N752AX","Boeing","B767-2"
"N131DL","Boeing","767-300-PSGR"
"N625AA*","Boeing","B757-200PASSENGER"
"N465FE","Boeing","B727-2"
"N975AS","McDonnell-Douglas","MD-80"
"N331","Boeing","B737-3"
"N876NN","Boeing","B737-823PASSENGER"
"N17928","Embraer","ERJ-145ER"
"N777QC","Boeing","B-737-7H4"
"N662FE","Airbus","A300-600"
"N519AT","Boeing","B757-2"
"N917TW","McDonnell-Douglas","MD-80"
"N373","Boeing","B737-3"
"N813AN","Boeing","B787-8"
"N233FR","ALC","A-320-1/2"
"N711","Boeing","B737-7/L"
"N584FE","McDonnell-Douglas","MD11"
"N419QX","DeHavilland","DHC8-400"
"N941NN","Boeing","B737-823PASSENGER"
"N290","Boeing","B737-7/L"
"N845HK","Embraer","EMB-145"
"N13956","Embraer","ERJ-145LR"
"N7520A","McDonnell-Douglas","SUPER80PASSENGER"
"N624NN","GulfStream","GA-V-VPSGR"
"N981AT","Boeing","Boeing717-200"
"N464SW","Canadair","RJ-200"
"N886DN","Boeing","737-900ER-PSGR"
"N330AT","Boeing","Boeing737-700/LR"
"N7820L","Boeing","B-737-79P"
"N177UA","Boeing","B747-422PAX"
"N669WN","Boeing","737-300PASSENGERONLY"
"N525US","Boeing","B757-2"
"N375PH","DeHavilland","DHC8-200"
"N241WN","Boeing","B737-7/L"
"N583NN","GE","CRJ900"
"N946FR","Airbus","A319"
"N418XJ","SAAB","Saab340B"
"N117HQ","Embraer","ERJ-175-200LR"
"N963FD","Boeing","B-757-200"
"N442CA","Canadair","RJ100/ER"
"N8656","Boeing","737-800PASSENGERONLY"
"N311NV","Airbus","A319"
"N77181","Canadair","RJ-200"
"N1604R","Boeing","B767-3"
"N650EH","GulfStream","G-VI-G650ERPSGR"
"N504NK","Airbus","A319PAX"
"N360WN","Boeing","737-300PASSENGERONLY"
"N217FE","Boeing","B727-2"
"N933FE","Cessna","CE-208B"
"N8329","Boeing","737-800PASSENGERONLY"
"N741DH","Boeing","B727-2"
"N613SK","Embraer","CRJ700-2C10"
"N448YV","DeHavilland","DHC8-200"
"N317CM","Boeing","B767-300SF"
"N16647","Boeing","B737-500PAX"
"n909xj","Bombardier","CRJ900"
"N908FX","ATR","ATR42-300"
"N804AJ","Boeing","B727-2"
"N700MK","GulfStream","GA-V-SPPSGR"
"N567UW","Airbus","A321-231"
"N407AA","McDonnell-Douglas","MD-80"
"N275AS","Embraer","EMB-120"
"N12349","Boeing","B737-3"
"N968FD","Boeing","B-757-200"
"N8696C","Canadair","RJ-200"
"N773AS","Boeing","B737-4"
"N655GT","Boeing","B767-200"
"N510PA","BAE","JETSTM31"
"N913JB","Airbus","A321-231-PSGR"
"N366UA","Boeing","B737-3"
"N224AK","Boeing","B737-990ERALLPAX"
"N936WN","Boeing","B-737-7H4"
"N838EX","DeHavilland","DASH8-1"
"N746FX","Cessna","CE-208B"
"N618QX","DeHavilland","RJ-700"
"N974RP","Embraer","Embraer-145"
"N454YV","DeHavilland","DHC8-200"
"N875RW","Embraer","ERJ-170-100LR"
"N323","Boeing","B737-3"
"N776WN","Boeing","B-737-7H4"
"N171DN","Boeing","B767-3"
"N661WN","Boeing","737-300PASSENGERONLY"
"N518PA","BAE","JETSTM31"
"N913AW","Boeing","B757-2"
"N807NN","Boeing","B737-823PASSENGER"
"N705CK","Boeing","B747-2/3"
"N575NN","GE","CRJ900"
"N941DN","McDonnell-Douglas","MD-90-30-PSGR"
"N411ZW","Canadair","RJ-200"
"N8458A","Canadair","RJ-200"
"N281","Boeing","B737-7/L"
"N751SK","Canadair","RJ-700"
"N130AN","Airbus","A321-231PASSENGER"
