year,quarter,month,dayofmonth,dayofweek,flightdate,reporting_airline,dot_id_reporting_airline,iata_code_reporting_airline,tail_number,flight_number_reporting_airline,originairportid,originairportseqid,origincitymarketid,origin,origincityname,originstate,originstatefips,originstatename,originwac,destairportid,destairportseqid,destcitymarketid,dest,destcityname,deststate,deststatefips,deststatename,destwac,crsdeptime,deptime,depdelay,depdelayminutes,depdel15,departuredelaygroups,deptimeblk,taxiout,wheelsoff,wheelson,taxiin,crsarrtime,arrtime,arrdelay,arrdelayminutes,arrdel15,arrivaldelaygroups,arrtimeblk,cancelled,cancellationcode,diverted,crselapsedtime,actualelapsedtime,airtime,flights,distance,distancegroup,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,firstdeptime,totaladdgtime,longestaddgtime,divairportlandings,divreacheddest,divactualelapsedtime,divarrdelay,divdistance,divairport
2013,1,1,21,1,2013-01-21,WN,19393,WN,N234WN,313,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,15016,1501603,31123,STL,"St. Louis, MO",MO,29,Missouri,64,1840,1851,11,11,0,0,1800-1859,6,1857,1946,3,1950,1949,-1,0,0,-1,1900-1959,0,0,0,70,58,49,1,251,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,16,3,2013-01-16,UA,19977,UA,N846UA,376,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,600,552,-8,0,0,-1,0600-0659,22,614,800,7,829,807,-22,0,0,-2,0800-0859,0,0,0,149,135,106,1,925,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,20,7,2013-01-20,MQ,20398,MQ,N942MQ,3932,14783,1478302,34783,SGF,"Springfield, MO",MO,29,Missouri,64,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,800,752,-8,0,0,-1,0800-0859,22,814,915,7,940,922,-18,0,0,-2,0900-0959,0,0,0,100,90,61,1,438,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,13,7,2013-01-13,YV,20378,YV,N512MJ,3770,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1500,1503,3,3,0,0,1500-1559,14,1517,1542,7,1600,1549,-11,0,0,-1,1600-1659,0,0,0,120,106,85,1,606,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,4,5,2013-01-04,WN,19393,WN,N389SW,543,13198,1319801,33198,MCI,"Kansas City, MO",MO,29,Missouri,64,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,1925,1932,7,7,0,0,1900-1959,11,1943,2046,4,2045,2050,5,5,0,0,2000-2059,0,0,0,80,78,63,1,405,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,24,4,2013-01-24,9E,20363,9E,N600LR,3338,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,600,626,26,26,1,1,0600-0659,14,640,821,4,820,825,5,5,0,0,0800-0859,0,0,0,80,59,41,1,265,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,9,3,2013-01-09,WN,19393,WN,N382SW,3673,13296,1329604,30721,MHT,"Manchester, NH",NH,33,New Hampshire,14,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,630,630,0,0,0,0,0600-0659,17,647,831,5,805,836,31,31,1,2,0800-0859,0,0,0,155,186,164,1,838,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,24,4,2013-01-24,UA,19977,UA,N455UA,465,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1045,1044,-1,0,0,-1,1000-1059,18,1102,1248,3,1236,1251,15,15,1,1,1200-1259,0,0,0,171,187,166,1,1005,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,7,1,2013-01-07,MQ,20398,MQ,N696MQ,3959,12992,1299204,32600,LIT,"Little Rock, AR",AR,5,Arkansas,71,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1005,1000,-5,0,0,-1,1000-1059,13,1013,1138,8,1155,1146,-9,0,0,-1,1100-1159,0,0,0,110,106,85,1,552,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,22,2,2013-01-22,OO,20304,OO,N986CA,5370,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,13184,1318403,33184,MBS,"Saginaw/Bay City/Midland, MI",MI,26,Michigan,43,618,613,-5,0,0,-1,0600-0659,21,634,818,4,821,822,1,1,0,0,0800-0859,0,0,0,63,69,44,1,222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
