,flightdate,dayofweek,weather
5656,2013-01-18,5,Partly cloudy
5657,2013-01-20,7,Cloudy
5658,2013-01-24,4,Overcast
5659,2013-01-25,5,Light freezing rain
5660,2013-01-26,6,Sunny
5661,2013-01-27,7,Partly cloudy
5662,2013-01-28,1,Patchy rain possible
5663,2013-01-29,2,Moderate rain at times
5664,2013-01-16,3,Cloudy
5665,2013-01-17,4,Sunny
5666,2013-01-18,5,Partly cloudy
5667,2013-01-19,6,Overcast
5668,2013-01-20,7,Sunny
5669,2013-01-21,1,Overcast
5670,2013-01-06,7,Overcast
5671,2013-01-07,1,Sunny
5672,2013-01-08,2,Sunny
5673,2013-01-09,3,Sunny
5674,2013-01-10,4,Sunny
5675,2013-01-20,7,Overcast
5676,2013-01-21,1,Sunny
5677,2013-01-22,2,Sunny
5678,2013-01-24,4,Partly cloudy
5679,2013-01-25,5,Partly cloudy
5680,2013-01-21,1,Partly cloudy
5681,2013-01-22,2,Sunny
5682,2013-01-23,3,Overcast
5683,2013-01-24,4,Overcast
5684,2013-01-25,5,Sunny
5685,2013-01-27,7,Partly cloudy
5686,2013-01-30,3,Patchy rain possible
5687,2013-01-31,4,Overcast
5688,2013-01-22,2,Partly cloudy
5689,2013-01-23,3,Cloudy
5690,2013-01-24,4,Overcast
5691,2013-01-25,5,Light freezing rain
5692,2013-01-26,6,Sunny
5693,2013-01-27,7,Partly cloudy
5694,2013-01-11,5,Patchy rain possible
5695,2013-01-12,6,Cloudy
5696,2013-01-13,7,Overcast
5697,2013-01-14,1,Sunny
5698,2013-01-15,2,Sunny
5699,2013-01-16,3,Sunny
5700,2013-01-18,5,Sunny
5701,2013-01-27,7,Moderate snow
5702,2013-01-28,1,Overcast
5703,2013-01-29,2,Moderate or heavy rain shower
5704,2013-01-30,3,Patchy rain possible
5705,2013-01-31,4,Overcast
5706,2013-01-28,1,Cloudy
5707,2013-01-29,2,Patchy rain possible
5708,2013-01-30,3,Moderate or heavy rain shower
5709,2013-01-10,4,Sunny
5710,2013-01-11,5,Patchy rain possible
5711,2013-01-12,6,Cloudy
5712,2013-01-13,7,Overcast
5713,2013-01-14,1,Sunny
5714,2013-01-15,2,Sunny
5715,2013-01-10,4,Cloudy
5716,2013-01-11,5,Cloudy
5717,2013-01-12,6,Partly cloudy
5718,2013-01-13,7,Partly cloudy
5719,2013-01-14,1,Sunny
5720,2013-01-15,2,Sunny
5721,2013-01-01,2,Sunny
5722,2013-01-02,3,Sunny
5723,2013-01-03,4,Cloudy
5724,2013-01-27,7,Partly cloudy
5725,2013-01-28,1,Patchy rain possible
5726,2013-01-29,2,Moderate or heavy rain shower
5727,2013-01-30,3,Patchy rain possible
5728,2013-01-31,4,Overcast
5729,2013-01-31,4,Overcast
5730,2013-01-16,3,Sunny
5731,2013-01-17,4,Sunny
5732,2013-01-18,5,Partly cloudy
5733,2013-01-19,6,Overcast
5734,2013-01-16,3,Cloudy
5735,2013-01-17,4,Sunny
5736,2013-01-18,5,Sunny
5737,2013-01-19,6,Cloudy
5738,2013-01-20,7,Overcast
5739,2013-01-21,1,Sunny
5740,2013-01-04,5,Sunny
5741,2013-01-05,6,Partly cloudy
5742,2013-01-06,7,Overcast
5743,2013-01-07,1,Sunny
5744,2013-01-08,2,Sunny
5745,2013-01-09,3,Sunny
5746,2013-01-21,1,Overcast
5747,2013-01-17,4,Clear
5748,2013-01-23,3,Cloudy
5749,2013-01-24,4,Overcast
5750,2013-01-25,5,Light freezing rain
5751,2013-01-26,6,Sunny
5752,2013-01-22,2,Sunny
5753,2013-01-23,3,Overcast
5754,2013-01-24,4,Partly cloudy
5755,2013-01-28,1,Patchy rain possible
5756,2013-01-29,2,Moderate rain at times
5757,2013-01-30,3,Patchy rain possible
5758,2013-01-24,4,Partly cloudy
5759,2013-01-25,5,Overcast
5760,2013-01-27,7,Moderate or heavy snow showers
5761,2013-01-28,1,Cloudy
5762,2013-01-29,2,Moderate or heavy rain shower
5763,2013-01-30,3,Light freezing rain
5764,2013-01-22,2,Partly cloudy
5765,2013-01-23,3,Cloudy
5766,2013-01-24,4,Overcast
5767,2013-01-25,5,Light freezing rain
5768,2013-01-26,6,Sunny
5769,2013-01-27,7,Partly cloudy
5770,2013-01-12,6,Cloudy
5771,2013-01-13,7,Overcast
5772,2013-01-14,1,Sunny
5773,2013-01-15,2,Sunny
5774,2013-01-16,3,Sunny
5775,2013-01-17,4,Sunny
5776,2013-01-31,4,Overcast
5777,2013-01-01,2,Clear
5778,2013-01-02,3,Clear
5779,2013-01-03,4,Partly cloudy
5780,2013-01-04,5,Clear
5781,2013-01-06,7,Clear
5782,2013-01-31,4,Overcast
5783,2013-01-28,1,Patchy rain possible
5784,2013-01-29,2,Moderate or heavy rain shower
5785,2013-01-30,3,Patchy rain possible
5786,2013-01-31,4,Overcast
5787,2013-01-01,2,Sunny
5788,2013-01-02,3,Sunny
5789,2013-01-18,5,Partly cloudy
5790,2013-01-19,6,Overcast
5791,2013-01-20,7,Sunny
5792,2013-01-07,1,Clear
5793,2013-01-08,2,Cloudy
5794,2013-01-09,3,Clear
5795,2013-01-10,4,Moderate rain at times
5796,2013-01-11,5,Partly cloudy
5797,2013-01-13,7,Cloudy
5798,2013-01-31,4,Overcast
5799,2013-01-06,7,Overcast
5800,2013-01-07,1,Sunny
5801,2013-01-08,2,Sunny
5802,2013-01-09,3,Sunny
5803,2013-01-10,4,Sunny
5804,2013-01-11,5,Patchy rain possible
5805,2013-01-01,2,Cloudy
5806,2013-01-02,3,Sunny
5807,2013-01-03,4,Overcast
5808,2013-01-04,5,Sunny
5809,2013-01-05,6,Partly cloudy
5810,2013-01-06,7,Overcast
5811,2013-01-12,6,Cloudy
5812,2013-01-13,7,Overcast
5813,2013-01-14,1,Sunny
5814,2013-01-15,2,Sunny
5815,2013-01-16,3,Sunny
5816,2013-01-12,6,Patchy rain possible
5817,2013-01-07,1,Sunny
5818,2013-01-08,2,Sunny
5819,2013-01-09,3,Sunny
5820,2013-01-11,5,Patchy rain possible
5821,2013-01-12,6,Cloudy
5822,2013-01-01,2,Sunny
5823,2013-01-02,3,Sunny
5824,2013-01-03,4,Overcast
5825,2013-01-17,4,Sunny
5826,2013-01-18,5,Partly cloudy
5827,2013-01-19,6,Overcast
5828,2013-01-20,7,Sunny
5829,2013-01-21,1,Overcast
5830,2013-01-22,2,Partly cloudy
5831,2013-01-29,2,Moderate or heavy rain shower
5832,2013-01-30,3,Patchy rain possible
5833,2013-01-31,4,Overcast
5834,2013-01-09,3,Sunny
5835,2013-01-10,4,Partly cloudy
5836,2013-01-11,5,Cloudy
5837,2013-01-12,6,Overcast
5838,2013-01-17,4,Clear
5839,2013-01-01,2,Sunny
5840,2013-01-02,3,Sunny
5841,2013-01-03,4,Cloudy
5842,2013-01-04,5,Sunny
5843,2013-01-01,2,Cloudy
5844,2013-01-02,3,Sunny
5845,2013-01-14,1,Sunny
5846,2013-01-15,2,Partly cloudy
5847,2013-01-16,3,Sunny
5848,2013-01-17,4,Sunny
5849,2013-01-18,5,Partly cloudy
5850,2013-01-19,6,Overcast
5851,2013-01-05,6,Partly cloudy
5852,2013-01-06,7,Overcast
5853,2013-01-07,1,Sunny
5854,2013-01-08,2,Sunny
5855,2013-01-09,3,Sunny
5856,2013-01-10,4,Partly cloudy
5857,2013-01-03,4,Overcast
5858,2013-01-04,5,Sunny
5859,2013-01-05,6,Partly cloudy
5860,2013-01-06,7,Overcast
5861,2013-01-08,2,Sunny
5862,2013-01-20,7,Cloudy
5863,2013-01-30,3,Patchy rain possible
5864,2013-01-31,4,Overcast
5865,2013-01-05,6,Partly cloudy
5866,2013-01-06,7,Overcast
5867,2013-01-07,1,Sunny
5868,2013-01-08,2,Sunny
5869,2013-01-09,3,Sunny
5870,2013-01-10,4,Sunny
5871,2013-01-16,3,Cloudy
5872,2013-01-11,5,Patchy rain possible
5873,2013-01-12,6,Cloudy
5874,2013-01-13,7,Overcast
5875,2013-01-14,1,Sunny
5876,2013-01-15,2,Sunny
5877,2013-01-16,3,Sunny
5878,2013-01-16,3,Overcast
5879,2013-01-22,2,Sunny
5880,2013-01-23,3,Overcast
5881,2013-01-24,4,Overcast
5882,2013-01-25,5,Sunny
5883,2013-01-26,6,Sunny
5884,2013-01-27,7,Partly cloudy
5885,2013-01-12,6,Partly cloudy
5886,2013-01-28,1,Cloudy
5887,2013-01-29,2,Patchy rain possible
5888,2013-01-30,3,Moderate or heavy rain shower
5889,2013-01-31,4,Overcast
5890,2013-01-21,1,Partly cloudy
5891,2013-01-14,1,Clear
5892,2013-01-21,1,Sunny
5893,2013-01-21,1,Clear
5894,2013-01-30,3,Patchy rain possible
5895,2013-01-31,4,Overcast
5896,2013-01-31,4,Overcast
5897,2013-01-11,5,Cloudy
5898,2013-01-10,4,Partly cloudy
5899,2013-01-09,3,Sunny
5900,2013-01-07,1,Sunny
5901,2013-01-06,7,Overcast
5902,2013-01-08,2,Sunny
5903,2013-01-09,3,Partly cloudy
5904,2013-01-05,6,Partly cloudy
5905,2013-01-16,3,Sunny
5906,2013-01-14,1,Sunny
5907,2013-01-15,2,Partly cloudy
5908,2013-01-13,7,Overcast
5909,2013-01-12,6,Overcast
5910,2013-01-31,4,Overcast
5911,2013-01-11,5,Moderate or heavy rain shower
5912,2013-01-12,6,Cloudy
5913,2013-01-28,1,Cloudy
5914,2013-01-28,1,Patchy rain possible
5915,2013-01-28,1,Patchy rain possible
5916,2013-01-30,3,Moderate or heavy rain shower
5917,2013-01-29,2,Patchy rain possible
5918,2013-01-21,1,Partly cloudy
5919,2013-01-20,7,Cloudy
5920,2013-01-22,2,Sunny
5921,2013-01-14,1,Sunny
5922,2013-01-11,5,Patchy rain possible
5923,2013-01-28,1,Cloudy
5924,2013-01-28,1,Cloudy
