id,Durations,Distance,Latitude,Longitude,cluster,location_demand,wealth_index,availability,cost_efficiency,wait_time
36062,49.150333333333336,48.84167,41.78599852,-87.75093429,5,6.48683440608543,11.164797074166797,True,0.5786920619100316,10.463333235110017
36071,30.898500000000002,25.411759999999997,41.92268628,-87.64948873,4,6.48683440608543,11.164797074166795,False,0.8372878466178338,7.77093557803971
36074,35.584500000000006,28.83574,41.89321636,-87.63784421,5,6.48683440608543,11.164797074166797,False,0.8303880359009458,9.567372133133865
36082,29.035166666666665,23.265970000000003,41.95753092,-87.66661144,4,6.48683440608543,11.164797074166795,True,0.6933744920265348,9.429389682379108
36086,36.912666666666674,29.329810000000002,41.89915561,-87.62621053,5,6.48683440608543,11.164797074166797,False,0.7699146216798795,6.669700927287604
36092,38.560833333333335,31.20391,41.87400538,-87.66351755,5,6.48683440608543,11.164797074166795,True,0.7659723363871331,6.860303747305957
36097,21.465833333333332,17.28507,41.968069,-87.72155906,2,6.48683440608543,11.164797074166797,True,0.8311970497580292,7.081734414286669
36102,49.150333333333336,48.84167,41.78599852,-87.75093429,5,6.48683440608543,11.164797074166795,True,0.7423005697444776,8.798610085232493
36109,30.000833333333333,24.237389999999998,41.91236435,-87.67506276,4,6.48683440608543,11.164797074166797,True,0.7653025094060518,10.26536738198847
36114,44.07266666666667,33.58878,41.83615016,-87.64878795,5,6.48683440608543,11.164797074166795,True,0.7212951198017997,9.64403963369616
36121,27.747,20.637970000000003,42.00157103,-87.69501259,3,6.48683440608543,11.164797074166797,True,0.6323127246875105,7.426801469999642
36125,35.550333333333334,28.573990000000002,41.89204214,-87.63186395,5,6.48683440608543,11.164797074166795,True,0.7729977991178913,6.58978358850074
36135,36.28633333333333,28.94331,41.90278805,-87.62614559,5,6.48683440608543,11.164797074166797,True,0.7028632853156782,11.039630802534056
36137,32.282666666666664,25.40766,41.93465916,-87.64672973,4,6.48683440608543,11.164797074166795,True,0.7765843308090399,9.972137804484325
